"행정구역","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_19세","2021년_계_20세","2021년_계_21세","2021년_계_22세","2021년_계_23세","2021년_계_24세","2021년_계_25세","2021년_계_26세","2021년_계_27세","2021년_계_28세","2021년_계_29세","2021년_계_30세","2021년_계_31세","2021년_계_32세","2021년_계_33세","2021년_계_34세"
"전국  (0000000000)","51,638,809","10,365,440","493,456","557,948","637,555","618,217","638,093","669,509","683,379","706,235","712,085","708,889","724,013","701,535","640,224","630,872","625,794","617,636"
"서울특별시  (1100000000)","9,509,458","2,242,927","84,649","97,483","116,240","117,703","129,512","142,139","151,566","161,356","167,311","167,850","171,117","165,879","149,441","143,987","141,533","135,161"
"부산광역시  (2600000000)","3,350,380","638,708","28,661","33,193","38,734","39,021","41,000","42,738","44,129","44,021","44,285","43,903","44,525","42,887","38,549","38,858","37,579","36,625"
"대구광역시  (2700000000)","2,385,412","469,026","23,325","27,070","31,012","30,249","30,307","32,019","31,982","32,501","31,413","30,897","31,471","30,284","27,391","27,631","25,603","25,871"
"인천광역시  (2800000000)","2,948,375","612,591","27,991","31,633","35,714","35,107","36,477","39,021","40,085","42,043","43,091","43,493","44,387","43,039","39,033","37,939","37,276","36,262"
"광주광역시  (2900000000)","1,441,611","307,204","16,335","18,766","21,403","20,542","20,832","21,585","21,098","21,526","20,593","19,994","20,133","18,861","16,804","16,404","16,096","16,232"
"대전광역시  (3000000000)","1,452,251","317,947","15,386","17,562","20,042","19,978","20,931","21,723","21,821","22,322","21,930","21,433","21,655","20,647","18,847","18,200","17,965","17,505"
"울산광역시  (3100000000)","1,121,592","215,527","10,649","12,249","13,838","12,942","13,143","13,716","13,973","14,416","14,341","14,285","14,519","14,519","13,188","13,540","13,063","13,146"
"세종특별자치시  (3600000000)","371,895","69,086","3,495","3,461","3,784","3,459","3,403","3,421","3,658","3,921","4,131","4,349","4,923","5,216","5,098","5,309","5,626","5,832"
"경기도  (4100000000)","13,565,450","2,833,437","135,269","150,826","171,808","165,464","171,121","180,099","183,510","190,758","193,003","192,612","199,068","194,405","177,485","176,101","177,244","174,664"
"강원도  (4200000000)","1,538,492","266,993","14,877","16,516","18,699","17,912","18,026","18,106","17,544","17,451","17,111","16,858","17,201","16,510","15,396","14,985","14,995","14,806"
"충청북도  (4300000000)","1,597,427","299,290","15,243","17,197","19,104","18,503","18,679","19,467","19,617","20,346","20,488","20,648","20,366","19,273","17,863","17,330","17,504","17,662"
"충청남도  (4400000000)","2,119,257","377,330","19,857","22,402","24,815","23,208","23,102","23,326","23,401","23,814","24,216","24,611","25,402","24,268","23,229","23,262","23,898","24,519"
"전라북도  (4500000000)","1,786,855","308,516","18,425","20,627","22,833","21,432","21,471","21,063","20,648","20,462","20,010","19,032","19,001","18,117","16,674","16,290","16,281","16,150"
"전라남도  (4600000000)","1,832,803","291,009","17,311","19,444","21,675","20,192","19,575","19,584","19,077","19,475","18,533","18,138","18,042","17,246","15,723","15,589","15,539","15,866"
"경상북도  (4700000000)","2,626,609","427,359","23,274","26,498","29,992","28,135","27,113","27,629","27,047","27,694","27,418","26,830","27,665","26,721","25,269","24,972","25,184","25,918"
"경상남도  (4800000000)","3,314,183","564,465","31,932","35,480","39,314","36,598","35,638","35,841","36,218","35,895","35,887","35,639","36,151","35,716","33,002","33,537","33,378","34,239"
"제주특별자치도  (5000000000)","676,759","124,025","6,777","7,541","8,548","7,772","7,763","8,032","8,005","8,234","8,324","8,317","8,387","7,947","7,232","6,938","7,030","7,178"
